"Source:","C:\Users\torsten.bandel\Dropbox\KiCAD\KiCAD_Projects\AFE_03\AFE_03.kicad_sch"
"Date:","13.04.2023 10:56:23"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","41"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C12, C14, C15","4","0.1uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C2","1","47uF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol","",""
"C3, C4","2","10uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C9","1","0.1uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C10, C11","2","22pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C13","1","1nF","C_Small","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol","",""
"C16","1","0.1uF","C_Small","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol","",""
"IC1","1","TPS61222DCK","TPS61222DCK","TPS61222DCK:DCK_R-PDSO-G6","","",""
"J1","1","Conn_01x03_Socket","Conn_01x03_Socket","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J2, J3","2","Conn_01x12","Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"JP1","1","SolderJumper_3_Open","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 3-pole, open","",""
"L1","1","EPL3015-472MLB","EPL3015-472MLB","EPL3015-472MLB:IND_EPL3015-472MLB","","",""
"R1, R17, R18, R27, R28","5","1.0M","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R2","1","200k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R3, R8, R19, R20, R21, R22, R23","7","0","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R4, R6, R7, R25, R26","5","51","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R5","1","10k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R9","1","10M","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"SW2","1","SW_SPST","SW_SPST","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","Single Pole Single Throw (SPST) switch","",""
"U2","1","ADS1293CISQ/NOPB","ADS1293CISQ{slash}NOPB","ADS1293CISQ_NOPB:QFN50P500X500X80-29N","","",""
"Y2","1","Crystal_Small","Crystal_Small","Crystal:Crystal_SMD_HC49-SD","Two pin crystal, small symbol","",""
